Year,GCAG,GISTEMP,emission
1.950000000000000000e+03,-1.615999999999999936e-01,-1.799999999999999933e-01,2838252
1.951000000000000000e+03,-1.319999999999999993e-02,-7.000000000000000666e-02,2955038
1.952000000000000000e+03,2.479999999999999913e-02,1.000000000000000021e-02,2976185
1.953000000000000000e+03,9.520000000000000684e-02,8.000000000000000167e-02,3022454
1.954000000000000000e+03,-1.165000000000000063e-01,-1.300000000000000044e-01,3059886
1.955000000000000000e+03,-1.353999999999999926e-01,-1.499999999999999944e-01,3230264
1.956000000000000000e+03,-1.990000000000000102e-01,-2.000000000000000111e-01,3357089
1.957000000000000000e+03,4.880000000000000310e-02,4.000000000000000083e-02,3422928
1.958000000000000000e+03,1.095000000000000001e-01,7.000000000000000666e-02,3490842
1.959000000000000000e+03,5.960000000000000020e-02,2.999999999999999889e-02,3607093
1.960000000000000000e+03,2.040000000000000147e-02,-2.000000000000000042e-02,3732643
1.961000000000000000e+03,7.749999999999999944e-02,5.000000000000000278e-02,3731082
1.962000000000000000e+03,8.880000000000000393e-02,2.999999999999999889e-02,3818588
1.963000000000000000e+03,1.068000000000000060e-01,5.999999999999999778e-02,3964441
1.964000000000000000e+03,-1.494999999999999940e-01,-2.000000000000000111e-01,4101719
1.965000000000000000e+03,-7.799999999999999989e-02,-1.000000000000000056e-01,4234765
1.966000000000000000e+03,-2.270000000000000143e-02,-5.000000000000000278e-02,4370162
1.967000000000000000e+03,-1.310000000000000053e-02,-2.000000000000000042e-02,4465946
1.968000000000000000e+03,-2.960000000000000131e-02,-7.000000000000000666e-02,4641374
1.969000000000000000e+03,9.289999999999999647e-02,7.000000000000000666e-02,4869613
1.970000000000000000e+03,3.719999999999999696e-02,2.000000000000000042e-02,5170394
1.971000000000000000e+03,-7.829999999999999460e-02,-8.999999999999999667e-02,5328580
1.972000000000000000e+03,2.639999999999999986e-02,1.000000000000000021e-02,5523714
1.973000000000000000e+03,1.640999999999999959e-01,1.499999999999999944e-01,5750259
1.974000000000000000e+03,-7.190000000000000557e-02,-7.000000000000000666e-02,5740553
1.975000000000000000e+03,3.399999999999999811e-03,-2.000000000000000042e-02,5746436
1.976000000000000000e+03,-7.920000000000000651e-02,-1.100000000000000006e-01,5994352
1.977000000000000000e+03,1.978000000000000036e-01,1.799999999999999933e-01,6126788
1.978000000000000000e+03,1.122999999999999970e-01,7.000000000000000666e-02,6310796
1.979000000000000000e+03,2.273000000000000020e-01,1.700000000000000122e-01,6449151
1.980000000000000000e+03,2.636999999999999900e-01,2.700000000000000178e-01,6430478
1.981000000000000000e+03,2.998999999999999999e-01,3.300000000000000155e-01,6298104
1.982000000000000000e+03,1.814999999999999947e-01,1.300000000000000044e-01,6272387
1.983000000000000000e+03,3.411000000000000143e-01,2.999999999999999889e-01,6325919
1.984000000000000000e+03,1.489999999999999936e-01,1.499999999999999944e-01,6478085
1.985000000000000000e+03,1.342000000000000137e-01,1.199999999999999956e-01,6668104
1.986000000000000000e+03,2.295999999999999985e-01,1.900000000000000022e-01,6743136
1.987000000000000000e+03,3.695999999999999841e-01,3.300000000000000155e-01,6937037
1.988000000000000000e+03,3.756999999999999784e-01,4.099999999999999756e-01,7156244
